SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,GRANDE NORD - VOTI ALLA LISTA,ITALIA AGLI ITALIANI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,PIÃ¹ EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(PIÃ¹ EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",PARTITO VALORE UMANO - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO REPUBBLICANO ITALIANO ALA  - VOTI ALLA LISTA,POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
252,642,20,0,0,110,107,22,5,3,4,4,2,89,61,17,1,0,3,0,4,452,0.7040498442367601
253,725,29,1,2,140,109,25,1,4,6,1,2,80,40,21,3,0,7,0,7,478,0.6593103448275862
254,655,14,1,1,119,150,24,1,3,3,5,4,64,50,17,5,1,2,0,4,468,0.7145038167938931
255,725,29,0,1,148,117,28,1,2,4,1,2,61,61,20,2,2,9,0,11,499,0.6882758620689655
256,698,17,0,0,134,109,33,2,2,1,1,6,62,51,16,4,0,7,0,6,451,0.6461318051575932
257,915,24,0,2,167,192,39,6,1,7,4,2,120,69,25,7,4,6,0,6,681,0.7442622950819672
258,846,32,0,3,157,139,30,5,2,4,7,4,102,81,26,7,2,7,0,8,616,0.7281323877068558
259,748,33,0,1,132,138,26,2,2,7,6,2,102,45,10,3,0,2,0,7,518,0.6925133689839572
260,739,26,0,3,122,141,36,6,5,6,1,4,91,81,21,4,1,4,0,10,562,0.7604871447902571
261,596,35,0,5,107,102,24,2,0,7,4,0,60,38,13,2,0,3,0,10,412,0.6912751677852349
262,784,40,0,0,145,153,40,3,2,5,0,4,100,67,24,2,2,6,0,4,597,0.7614795918367347
263,755,26,0,1,132,151,21,3,3,6,3,2,65,61,16,1,3,3,2,11,510,0.6754966887417219
264,816,31,0,1,154,170,34,4,6,5,5,2,91,67,26,1,2,2,0,2,603,0.7389705882352942
265,667,36,0,1,120,124,33,2,3,3,4,0,59,49,16,5,0,3,0,7,465,0.697151424287856
266,915,30,0,3,137,200,37,6,4,6,2,2,82,94,43,3,0,4,0,4,657,0.7180327868852459
267,963,40,0,1,144,178,40,4,6,6,5,4,113,85,30,5,2,7,1,5,676,0.7019730010384216
268,715,31,0,2,113,150,28,0,3,5,1,3,66,64,16,7,1,2,0,5,497,0.6951048951048951
269,640,17,0,1,48,163,44,3,3,14,2,3,77,98,25,9,0,1,0,2,510,0.796875
270,599,7,1,0,48,145,42,6,2,1,5,5,81,100,19,6,0,7,0,0,475,0.7929883138564274
271,694,12,0,1,81,182,33,5,2,4,1,1,92,81,40,6,0,0,0,4,545,0.7853025936599424
272,682,17,0,0,52,158,32,1,0,10,1,6,81,65,30,6,1,2,0,4,466,0.6832844574780058
273,704,25,0,1,124,141,22,3,1,7,3,2,90,52,19,4,4,3,0,3,504,0.7159090909090909
274,627,25,2,2,108,108,24,1,3,2,2,1,68,53,7,2,1,1,0,4,414,0.6602870813397129
275,471,21,0,0,97,81,14,2,0,1,1,3,62,40,15,7,1,3,0,5,353,0.7494692144373672
276,564,12,1,1,92,119,18,2,3,3,3,3,71,38,15,4,2,3,0,1,391,0.6932624113475178
277,546,12,0,0,113,111,14,3,1,1,3,0,54,57,20,4,0,4,0,3,400,0.7326007326007326
278,579,30,0,4,89,150,23,4,2,2,0,1,62,39,25,1,0,7,0,3,442,0.7633851468048359
279,625,26,1,0,88,122,21,3,4,5,6,3,71,62,8,5,2,1,0,10,438,0.7008
280,784,27,0,3,122,152,31,1,1,4,3,3,88,56,23,9,4,3,1,8,539,0.6875
281,714,34,1,1,116,140,34,0,10,6,2,3,74,53,25,2,0,4,0,9,514,0.7198879551820728
282,711,26,0,1,101,137,39,0,3,3,2,5,77,55,21,9,1,5,0,5,490,0.6891701828410689
283,664,24,0,0,116,120,16,4,1,5,7,1,80,46,23,2,1,8,1,3,458,0.6897590361445783
284,733,40,0,3,99,162,29,2,4,4,2,3,105,56,24,9,0,3,0,2,547,0.7462482946793997
285,536,16,1,0,82,170,32,2,1,4,4,2,45,61,21,0,0,3,1,2,447,0.8339552238805971
286,675,23,0,2,120,133,21,1,3,5,4,0,78,53,20,1,0,8,0,4,476,0.7051851851851851
287,592,24,0,0,56,191,46,2,2,8,2,1,52,51,19,4,0,4,1,3,466,0.7871621621621622
288,553,12,0,2,60,109,22,1,0,11,1,3,69,54,15,5,0,1,1,5,371,0.6708860759493671
289,786,27,0,2,112,175,24,7,5,7,3,4,107,82,16,5,0,3,0,9,588,0.7480916030534351
290,651,23,0,1,100,147,27,1,2,8,2,1,70,69,16,3,1,2,0,2,475,0.7296466973886329
291,705,31,0,0,90,162,28,3,4,3,4,4,112,69,21,4,1,4,1,6,547,0.775886524822695
292,661,25,1,0,99,176,35,1,3,7,2,1,69,61,20,3,1,4,0,2,510,0.7715582450832073
293,731,24,0,2,155,148,13,0,3,8,7,6,46,87,17,3,2,12,0,9,542,0.7414500683994528
294,557,12,1,1,77,112,19,2,5,3,3,7,58,66,13,4,0,4,0,6,393,0.7055655296229802
295,850,25,0,1,122,228,48,2,3,11,6,6,83,88,28,7,0,4,2,7,671,0.7894117647058824
296,701,23,0,2,121,158,24,3,8,6,1,4,67,66,16,1,3,3,2,10,518,0.738944365192582
297,684,24,0,0,106,125,25,5,3,3,4,2,61,54,13,3,2,2,0,9,441,0.6447368421052632
298,686,24,1,2,146,108,16,3,3,2,3,1,84,58,25,2,5,3,0,7,493,0.7186588921282799
299,621,15,0,1,52,163,47,3,0,8,3,2,71,63,27,7,0,4,0,2,468,0.7536231884057971
300,755,28,0,5,117,132,27,1,2,9,2,6,112,75,23,2,1,3,2,8,555,0.7350993377483444
301,925,28,0,0,159,178,37,4,3,9,7,2,113,89,24,10,2,2,0,5,672,0.7264864864864865
302,756,19,1,2,169,107,13,4,6,1,1,1,108,77,9,5,0,7,1,6,537,0.7103174603174603
303,881,25,0,1,190,157,21,1,1,4,5,1,82,89,21,4,1,8,0,3,614,0.6969353007945517
304,651,16,1,2,115,99,10,1,1,3,3,1,103,41,15,2,4,4,0,3,424,0.6513056835637481
305,608,14,1,1,128,84,11,0,1,1,4,5,80,39,10,6,1,8,0,4,398,0.6546052631578947
306,851,14,0,1,153,166,18,4,1,3,20,5,90,66,17,3,1,18,0,6,586,0.6886016451233843
307,745,17,1,2,152,123,14,2,7,3,3,0,98,74,21,10,2,2,0,6,537,0.7208053691275168
308,801,19,1,2,160,140,14,2,0,7,6,3,96,63,16,2,1,4,0,6,542,0.6766541822721598
309,602,24,2,3,137,100,17,2,1,8,2,1,77,38,18,3,0,0,1,5,439,0.729235880398671
310,553,16,0,0,128,91,11,1,1,4,2,0,50,39,11,2,1,4,1,10,372,0.6726943942133815
311,789,20,1,1,153,110,14,2,0,13,1,4,100,69,24,6,1,2,0,4,525,0.6653992395437263
312,853,28,1,0,202,121,14,2,5,3,2,3,100,61,34,3,3,2,0,5,589,0.690504103165299
313,590,20,0,0,137,93,21,0,1,4,3,2,83,50,14,4,2,5,0,6,445,0.7542372881355932
314,599,29,0,2,125,94,19,1,1,2,1,1,63,59,16,3,1,1,0,3,421,0.7028380634390651
315,694,29,0,1,145,112,18,0,1,4,1,5,91,54,22,2,2,6,0,4,497,0.7161383285302594
316,690,21,0,0,162,118,8,2,0,5,4,2,78,56,13,1,2,3,0,4,479,0.6942028985507246
317,590,26,1,3,124,118,10,0,1,3,5,2,58,48,13,1,5,4,0,3,425,0.7203389830508474
318,610,14,1,3,132,90,9,1,0,5,0,2,72,57,9,1,2,3,0,9,410,0.6721311475409836
319,573,20,0,3,131,109,9,1,2,4,0,1,66,47,24,1,1,2,0,4,425,0.7417102966841187
320,613,19,0,0,144,111,8,1,0,6,0,1,67,56,12,6,1,4,0,5,441,0.7194127243066885
321,847,31,0,1,76,132,62,0,7,8,2,3,79,61,23,4,3,5,2,5,504,0.5950413223140496
322,616,25,0,0,104,103,29,1,0,7,1,6,66,60,18,3,1,5,0,8,437,0.7094155844155844
323,595,21,0,2,97,102,16,0,3,6,2,2,45,48,13,4,0,1,0,11,373,0.626890756302521
324,570,32,0,0,80,117,25,2,0,7,3,1,42,43,14,0,0,6,0,11,383,0.6719298245614035
325,608,42,0,1,91,80,34,2,2,5,2,0,52,42,8,6,0,2,0,13,382,0.6282894736842105
326,697,37,0,1,89,135,41,1,4,5,1,3,57,51,19,1,0,1,0,17,463,0.6642754662840746
327,596,25,0,1,98,82,24,0,2,5,3,1,64,58,13,1,2,2,0,10,391,0.6560402684563759
328,595,33,1,0,90,106,31,0,3,4,3,3,61,50,16,4,2,4,0,5,416,0.6991596638655462
329,676,32,2,0,85,128,31,2,1,8,3,1,96,43,12,5,1,5,0,14,469,0.6937869822485208
330,579,29,0,1,99,94,38,1,1,4,0,1,49,39,12,5,0,1,1,10,385,0.6649395509499136
331,590,29,1,0,90,93,39,2,0,8,3,2,65,49,13,2,1,3,0,12,412,0.6983050847457627
332,785,43,0,0,100,178,64,7,7,7,6,4,75,55,37,6,1,7,0,10,607,0.7732484076433122
333,697,49,0,1,100,131,37,3,4,2,4,1,79,48,21,3,2,5,2,19,511,0.733142037302726
334,731,33,0,2,72,153,70,1,6,3,8,2,75,68,19,5,0,0,1,9,527,0.7209302325581395
335,636,27,0,2,63,152,43,9,2,9,4,2,37,35,12,6,0,4,1,9,417,0.6556603773584906
336,713,58,0,0,81,160,64,5,4,9,4,2,66,47,13,4,1,4,1,13,536,0.7517531556802244
337,706,35,2,2,65,194,59,2,0,4,4,5,66,63,20,3,1,2,0,16,543,0.7691218130311614
338,774,56,1,0,81,209,67,7,2,10,4,14,65,69,24,8,0,6,0,11,634,0.8191214470284238
339,740,52,0,0,81,183,69,1,1,11,1,5,57,73,21,4,2,1,0,14,576,0.7783783783783784
340,666,27,0,2,54,167,62,3,5,6,1,2,64,76,18,16,1,18,1,13,536,0.8048048048048048
341,758,32,0,2,51,198,67,3,7,6,7,8,81,94,20,7,2,1,0,2,588,0.7757255936675461
342,699,27,0,2,117,137,33,1,2,4,8,2,117,60,25,5,2,1,3,0,546,0.7811158798283262
343,623,10,0,2,99,90,21,0,3,3,3,4,81,52,14,3,2,3,1,9,400,0.6420545746388443
344,795,17,0,3,154,127,28,3,2,0,4,0,103,85,10,6,1,3,1,4,551,0.6930817610062893
345,742,28,1,2,119,127,24,3,0,4,3,1,85,74,12,2,1,9,0,16,511,0.6886792452830188
346,989,50,0,5,212,166,32,3,1,3,5,2,92,70,24,4,0,6,0,12,687,0.6946410515672397
347,1105,33,0,2,213,178,53,3,2,6,2,1,124,84,33,6,1,5,1,14,761,0.6886877828054299
348,550,26,0,1,102,71,12,1,1,4,3,1,59,49,7,2,2,2,2,7,352,0.64
349,504,15,0,3,68,78,17,0,0,0,3,2,58,32,12,0,2,3,1,5,299,0.5932539682539683
350,690,13,2,0,133,92,14,3,2,3,4,3,81,60,7,5,4,4,0,3,433,0.6275362318840579
351,538,21,0,2,94,89,13,1,0,3,2,2,70,48,16,1,0,3,0,5,370,0.6877323420074349
352,633,24,0,0,68,150,32,0,2,13,1,0,72,72,18,6,0,4,0,6,468,0.7393364928909952
353,674,27,0,0,95,128,37,1,0,8,4,1,67,69,16,4,0,5,0,8,470,0.6973293768545994
354,735,35,1,0,115,141,36,1,3,8,6,2,90,57,29,6,1,3,0,19,553,0.7523809523809524
355,708,24,0,2,99,123,38,1,2,9,1,4,101,71,20,5,1,5,0,16,522,0.7372881355932204
356,624,36,0,1,102,80,22,1,2,1,4,3,44,53,11,0,0,3,0,29,392,0.6282051282051282
357,576,34,0,0,55,121,18,0,1,6,3,2,65,45,8,2,1,4,0,11,376,0.6527777777777778
358,635,34,0,0,79,115,54,3,2,6,5,3,76,54,14,5,1,4,0,9,464,0.7307086614173228
359,635,28,1,1,111,111,48,3,0,4,11,4,62,52,15,4,1,6,0,6,468,0.7370078740157481
360,666,38,1,3,107,132,37,4,2,7,3,5,80,29,16,3,4,1,0,9,481,0.7222222222222222
361,713,54,0,2,77,146,42,5,5,9,5,7,73,70,18,5,3,2,1,8,532,0.7461430575035063
362,733,41,0,3,101,162,45,3,3,6,4,4,69,67,23,2,1,7,2,17,560,0.7639836289222374
363,743,37,0,1,99,179,50,8,5,8,4,4,60,79,23,8,1,8,0,5,579,0.7792732166890982
364,598,25,1,1,78,107,27,0,2,3,0,0,97,53,15,6,0,1,1,3,420,0.7023411371237458
365,576,28,0,2,94,104,29,1,2,4,5,2,67,55,17,1,3,2,1,9,426,0.7395833333333334
366,635,26,0,1,79,126,51,3,5,9,4,3,54,54,15,5,1,4,2,17,459,0.7228346456692913
367,521,24,0,2,89,101,14,2,0,4,1,1,69,40,16,1,1,2,0,3,370,0.710172744721689
368,802,26,1,2,134,129,45,3,3,8,4,3,76,63,27,5,1,4,1,7,542,0.6758104738154613
369,538,21,0,1,81,97,20,2,2,2,3,1,73,32,11,1,2,5,0,5,359,0.6672862453531598
370,570,10,0,1,84,90,18,0,2,11,1,4,71,37,10,2,2,2,0,2,347,0.6087719298245614
371,593,26,1,0,110,91,17,1,2,7,0,3,65,35,4,1,3,3,1,9,379,0.6391231028667791
372,648,24,0,2,113,118,14,0,0,3,4,3,88,37,10,4,0,7,1,13,441,0.6805555555555556
373,734,21,0,1,130,125,26,0,6,7,1,3,82,65,18,3,5,4,1,11,509,0.6934604904632152
374,738,34,0,0,122,161,25,0,1,1,1,4,77,65,18,4,2,5,0,12,532,0.7208672086720868
375,630,31,1,0,112,103,23,1,3,5,0,2,81,41,11,1,2,1,0,5,423,0.6714285714285714
376,721,44,0,1,105,131,34,1,5,4,1,1,64,20,51,4,0,1,0,11,478,0.6629680998613038
377,641,21,1,1,99,78,18,3,0,0,2,0,80,59,13,5,0,1,0,10,391,0.609984399375975
378,702,31,1,0,92,129,41,5,1,6,2,7,79,67,20,5,1,3,0,2,492,0.7008547008547008
379,729,40,1,2,134,147,29,5,9,11,4,2,64,65,23,3,1,2,0,9,551,0.7558299039780522
380,799,23,0,1,99,161,55,5,3,10,16,6,61,71,22,4,3,4,1,10,555,0.6946182728410513
381,850,20,0,2,161,111,33,1,4,4,2,3,95,71,25,8,1,4,1,8,554,0.6517647058823529
382,979,39,0,5,146,171,50,0,5,12,1,5,157,78,31,3,0,1,1,7,712,0.7272727272727273
383,718,40,1,0,113,122,32,3,3,15,8,1,80,63,23,12,2,2,1,5,526,0.7325905292479109
384,854,45,1,3,175,144,27,1,4,5,5,1,122,71,29,6,0,8,0,5,652,0.7634660421545667
385,723,19,0,3,147,123,11,1,0,5,2,2,93,41,13,12,3,8,1,6,490,0.677731673582296
386,708,24,0,2,122,118,22,2,1,8,3,2,111,43,17,3,1,2,0,8,489,0.690677966101695
387,761,31,0,1,161,110,25,4,2,1,3,1,91,52,18,3,3,6,0,6,518,0.6806833114323259
388,837,21,0,2,152,147,34,1,4,5,3,5,125,91,21,9,0,5,0,5,630,0.7526881720430108
389,569,19,0,2,95,81,15,2,1,4,3,4,67,51,10,3,1,1,1,12,372,0.6537785588752196
390,666,20,0,0,116,125,20,0,1,5,2,2,57,47,23,5,3,5,0,6,437,0.6561561561561562
391,582,18,0,1,95,112,21,2,2,4,2,1,74,43,12,6,2,4,0,5,404,0.6941580756013745
392,706,27,0,2,138,115,25,1,4,4,3,1,78,66,14,2,0,1,0,14,495,0.7011331444759207
393,728,21,1,1,131,133,24,1,1,5,1,3,91,71,11,7,0,3,0,3,508,0.6978021978021978
394,758,29,0,2,140,130,20,0,5,9,5,6,66,56,12,0,5,6,0,7,498,0.6569920844327177
395,722,23,0,1,90,139,38,3,4,16,3,6,95,62,17,10,1,4,0,3,515,0.7132963988919667
396,761,22,1,1,91,157,43,6,1,9,5,5,77,90,29,6,1,4,0,1,549,0.721419185282523
397,778,22,1,0,90,182,47,2,5,11,8,3,101,93,27,5,0,2,0,6,605,0.7776349614395887
398,796,34,0,2,115,171,42,3,7,8,7,5,84,78,24,6,2,8,0,7,603,0.757537688442211
399,670,17,1,0,126,132,19,1,2,2,3,0,80,57,16,6,2,7,0,11,482,0.7194029850746269
400,646,32,0,0,138,108,39,1,2,2,4,3,74,45,16,1,1,2,1,6,475,0.7352941176470589
401,646,21,0,1,115,137,32,0,0,5,4,4,65,49,18,6,1,4,0,5,467,0.7229102167182663
402,761,34,0,1,107,153,48,1,7,13,1,7,77,76,21,4,4,3,0,6,563,0.7398160315374507
403,637,33,0,3,124,118,26,0,3,5,1,2,46,58,15,4,1,3,0,9,451,0.7080062794348508
404,639,24,1,0,100,96,25,2,2,5,2,0,68,44,10,4,2,6,0,10,401,0.6275430359937402
405,674,34,0,4,126,135,27,0,3,6,4,5,70,42,9,4,1,5,0,6,481,0.7136498516320475
406,619,18,0,0,102,96,27,2,1,5,1,1,66,45,11,3,1,5,1,11,396,0.6397415185783522
407,725,22,0,3,101,165,42,6,3,5,5,4,92,64,22,8,1,5,0,8,556,0.766896551724138
408,774,20,0,0,87,208,49,2,4,12,3,6,80,92,29,9,1,6,1,6,615,0.7945736434108527
409,645,21,0,3,92,122,20,0,2,7,2,5,87,65,7,1,4,4,1,3,446,0.6914728682170542
410,696,28,0,0,124,133,15,2,5,3,1,0,108,63,15,5,0,3,2,2,509,0.7313218390804598
411,761,28,2,0,120,105,18,2,1,2,2,1,115,61,20,5,1,9,1,3,496,0.6517739816031537
412,798,23,1,3,178,120,24,2,7,4,2,0,108,74,23,6,4,5,0,5,589,0.7380952380952381
413,660,16,0,2,104,114,24,2,0,12,2,3,94,49,20,4,1,5,2,6,460,0.696969696969697
414,710,30,0,3,150,114,31,1,4,7,1,1,88,46,13,6,1,4,0,6,506,0.7126760563380282
415,435,16,0,0,92,54,4,0,1,0,0,1,63,35,21,7,1,6,2,4,307,0.7057471264367816
416,580,25,0,1,115,72,19,0,2,1,0,2,82,48,11,2,0,1,0,3,384,0.6620689655172414
417,668,21,0,0,139,99,19,1,2,6,4,2,104,65,6,2,0,6,0,4,480,0.718562874251497
418,606,9,0,3,124,96,6,1,0,3,6,5,82,50,7,3,0,3,0,8,406,0.66996699669967
419,637,18,2,2,142,95,14,2,1,3,0,4,90,55,14,3,1,1,0,9,456,0.7158555729984302
420,706,17,0,5,108,98,18,1,0,1,3,2,79,78,9,5,3,5,0,2,434,0.6147308781869688
421,868,24,0,2,172,118,20,4,2,4,1,3,134,87,20,8,3,7,0,2,611,0.7039170506912442
422,681,21,0,1,150,110,13,3,0,6,0,1,93,60,9,4,2,3,0,6,482,0.7077826725403817
423,799,20,2,0,135,126,13,4,5,4,4,4,118,67,13,7,1,8,1,8,540,0.6758448060075094
424,691,16,2,1,149,77,12,0,1,3,2,2,98,66,13,3,0,3,0,8,456,0.6599131693198264
425,722,24,1,0,135,106,16,4,1,4,3,2,87,61,20,2,0,4,0,4,474,0.6565096952908587
426,687,14,0,4,130,105,23,1,1,3,1,1,92,76,16,3,1,8,0,4,483,0.7030567685589519
427,599,24,0,1,106,72,10,0,3,3,0,2,67,64,6,6,2,3,0,3,372,0.6210350584307178
428,723,21,0,2,137,117,16,3,3,1,10,3,79,65,13,4,1,6,0,1,482,0.6666666666666666
429,715,23,0,2,147,111,18,2,1,6,7,2,96,58,14,1,2,5,0,6,501,0.7006993006993008
430,578,12,0,0,118,74,6,0,0,2,3,1,91,46,10,5,0,6,1,4,379,0.6557093425605537
431,611,10,2,2,134,76,10,0,2,3,0,5,86,51,8,4,2,10,2,2,409,0.6693944353518821
432,811,33,1,1,180,125,15,3,0,1,2,2,115,63,16,1,2,5,0,13,578,0.7127003699136868
433,870,21,1,3,191,103,19,6,2,4,0,2,167,59,13,5,4,7,0,5,612,0.7034482758620689
434,842,32,0,3,167,147,16,2,2,10,4,1,121,67,16,6,2,2,1,2,601,0.7137767220902613
435,526,3,1,2,57,42,3,2,1,0,0,6,54,57,6,1,0,3,0,2,240,0.45627376425855515
436,641,19,0,1,125,105,14,2,2,2,1,1,92,52,8,0,3,4,0,5,436,0.6801872074882995
437,579,10,0,0,84,91,7,3,0,1,1,2,102,37,13,4,1,1,0,1,358,0.6183074265975821
438,696,31,1,1,136,152,9,2,0,2,5,2,93,67,8,4,1,6,0,3,523,0.7514367816091954
439,747,18,1,0,111,184,20,1,1,14,4,2,108,64,13,11,0,2,1,3,558,0.7469879518072289
440,731,27,0,1,152,136,16,2,1,2,3,2,89,62,19,1,0,4,1,4,522,0.7140902872777017
441,747,38,0,0,144,108,16,2,2,2,0,0,106,80,10,2,1,5,0,3,519,0.6947791164658634
442,630,11,0,1,149,86,12,1,2,4,2,1,71,40,11,3,2,3,0,2,401,0.6365079365079365
443,589,7,2,4,98,101,12,1,0,3,3,1,85,69,10,3,0,7,0,6,412,0.6994906621392191
444,604,7,0,3,132,89,19,4,2,1,1,0,69,42,12,2,1,3,0,1,388,0.6423841059602649
445,582,16,1,1,97,78,12,0,2,2,2,15,74,42,12,3,1,3,0,4,365,0.627147766323024
446,679,18,0,0,135,119,12,1,0,1,2,3,105,64,13,4,2,7,0,3,489,0.7201767304860088
447,671,29,0,1,120,76,12,1,2,11,2,1,101,54,16,10,0,4,0,1,441,0.6572280178837556
448,630,16,1,3,111,117,13,2,1,5,2,1,78,58,9,6,1,6,1,2,433,0.6873015873015873
449,645,29,1,4,150,95,10,0,2,1,0,5,95,66,16,6,2,0,0,7,489,0.7581395348837209
450,939,26,1,0,84,188,7,1,0,2,1,1,136,65,12,4,1,11,1,9,550,0.5857294994675186
451,853,33,1,0,174,93,16,0,0,2,4,1,105,79,12,4,1,2,1,4,532,0.6236811254396248
452,1129,24,0,3,237,143,24,1,3,2,1,1,134,66,17,3,4,10,0,8,681,0.6031886625332152
453,652,23,1,0,131,126,23,3,2,2,0,3,76,52,16,4,0,8,0,1,471,0.7223926380368099
454,571,15,0,1,117,75,11,1,1,1,2,2,61,43,9,4,1,4,1,2,351,0.6147110332749562
455,836,24,0,1,158,156,17,5,1,3,6,2,105,77,22,6,2,5,0,5,595,0.7117224880382775
456,718,16,0,1,118,98,16,0,2,2,3,5,101,49,14,3,1,7,0,6,442,0.6155988857938719
457,627,14,1,4,113,134,11,1,2,14,3,1,104,42,16,7,0,3,0,1,471,0.7511961722488039
458,616,20,1,2,117,120,10,2,1,8,0,2,77,51,11,3,2,2,0,5,434,0.7045454545454546
459,374,15,0,0,70,68,17,0,1,2,4,0,42,28,5,1,0,6,1,3,263,0.7032085561497327
460,647,18,2,2,83,144,13,3,1,6,7,5,90,49,21,3,0,1,0,4,452,0.6986089644513137
461,605,19,1,3,131,79,10,0,4,2,3,3,80,56,4,1,2,9,2,2,411,0.6793388429752066
462,600,24,0,1,94,106,13,1,3,1,2,0,75,40,25,4,1,6,0,3,399,0.665
463,627,21,0,0,121,79,11,0,2,9,0,2,90,44,8,13,2,0,0,4,406,0.6475279106858054
464,579,18,0,3,113,68,8,0,0,2,0,2,100,34,10,2,0,2,0,11,373,0.6442141623488774
465,560,12,0,1,106,67,6,0,3,3,2,2,99,57,5,6,0,2,0,4,375,0.6696428571428571
466,945,17,2,0,215,115,29,4,1,3,4,3,121,78,20,2,1,8,0,10,633,0.6698412698412698
467,813,39,0,0,173,125,16,0,4,7,0,2,110,71,15,4,1,7,1,4,579,0.7121771217712177
468,652,22,1,1,131,95,11,1,1,4,4,5,92,44,12,0,0,6,0,2,432,0.6625766871165644
469,768,31,0,2,161,113,11,0,3,5,3,1,130,69,10,4,3,9,0,6,561,0.73046875
470,645,10,2,2,132,78,13,1,0,1,0,2,106,61,8,4,0,7,0,5,432,0.6697674418604651
471,691,14,2,4,158,82,26,3,1,0,1,1,114,63,16,2,6,5,0,4,502,0.7264833574529667
472,784,13,0,2,174,103,10,3,0,1,1,2,129,66,21,8,1,5,0,4,543,0.6926020408163265
473,509,15,0,0,108,70,0,0,1,0,2,3,69,37,14,3,2,2,0,2,328,0.6444007858546169
474,851,31,0,5,156,117,28,0,1,3,1,2,117,72,14,4,2,3,0,6,562,0.6603995299647474
475,722,28,1,2,131,113,6,1,1,3,5,4,108,64,16,3,2,2,0,4,494,0.6842105263157895
476,707,15,1,1,123,102,16,0,2,1,4,1,100,47,17,2,1,5,0,8,446,0.6308345120226309
477,710,13,1,3,156,83,9,0,1,4,3,0,92,58,18,5,1,1,0,6,454,0.6394366197183099
478,827,17,0,4,174,127,7,1,1,2,7,2,90,63,14,6,1,4,0,7,527,0.6372430471584039
479,962,26,0,0,241,159,26,0,3,4,3,0,152,65,31,4,0,4,0,4,722,0.7505197505197505
480,830,24,1,1,194,99,16,3,0,2,5,1,122,70,9,7,2,5,0,6,567,0.6831325301204819
481,594,11,1,2,119,69,8,1,1,0,1,1,66,51,13,6,0,9,2,4,365,0.6144781144781145
482,575,1,0,1,91,42,5,2,1,1,0,1,93,66,6,1,2,4,0,1,318,0.5530434782608695
483,554,23,0,4,113,74,6,0,0,2,0,1,80,52,12,2,1,5,1,5,381,0.6877256317689531
484,598,12,1,0,111,62,8,0,3,1,0,1,72,48,6,1,4,7,0,7,344,0.5752508361204013
485,586,6,0,2,102,54,1,0,1,2,0,4,60,43,11,3,1,8,1,3,302,0.515358361774744
486,619,7,0,0,93,33,5,0,0,4,3,1,76,67,9,3,0,5,0,3,309,0.4991922455573506
487,619,7,2,0,106,56,4,1,1,3,1,1,81,62,4,11,0,1,0,0,341,0.5508885298869144
488,667,21,0,0,122,88,20,1,1,3,3,1,103,49,15,2,1,8,0,9,447,0.6701649175412294
489,774,13,1,0,156,132,12,2,0,3,1,7,111,66,19,8,0,1,0,2,534,0.689922480620155
490,775,31,0,0,148,143,25,0,1,5,6,1,86,60,19,4,2,4,0,5,540,0.6967741935483871
491,574,11,0,0,88,104,7,2,2,3,6,3,90,72,14,1,1,3,1,2,410,0.7142857142857143
492,639,28,1,1,126,141,23,2,5,3,2,6,79,38,7,2,0,5,0,5,474,0.7417840375586855
493,818,24,0,1,109,127,26,1,0,5,2,2,83,65,9,2,0,2,0,7,465,0.5684596577017115
494,741,28,0,0,140,122,23,1,1,3,5,1,99,72,14,2,0,2,0,4,517,0.6977058029689609
495,636,15,1,0,172,74,11,1,2,5,4,1,94,35,13,3,2,11,1,5,450,0.7075471698113207
496,827,36,0,1,154,119,26,0,3,7,2,3,101,60,18,7,1,4,3,15,560,0.6771463119709794
497,695,22,2,3,120,95,15,0,2,5,0,3,80,62,14,2,2,5,0,3,435,0.6258992805755396
498,704,24,0,0,140,103,19,0,1,5,6,0,98,56,10,3,0,6,0,8,479,0.6803977272727273
499,673,15,2,1,153,121,10,1,1,3,1,4,92,51,13,3,2,3,0,6,482,0.7161961367013373
500,738,29,0,2,129,122,15,2,2,4,2,1,110,56,17,11,2,3,0,5,512,0.6937669376693767
501,674,22,1,0,128,133,15,2,1,8,2,2,91,51,18,3,1,5,0,4,487,0.7225519287833828
502,638,16,0,1,122,108,17,3,1,1,0,1,103,52,16,3,0,5,0,6,455,0.713166144200627
